Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact,Emergency_Contact_Ext
S00069,William Ford,2011-03-11,Grade 5,+16772941469,96297
S00070,Martin Bennett Md,2010-01-02,Grade 1,+14472144052,-
S00071,Madison Ellis,2012-06-16,Grade 4,+19296693154,-
S00072,Dean Cook,2014-11-04,Grade 4,+17588441898,-
S00073,Christopher Salinas,2011-01-04,Grade 5,+13455731319,25182
S00074,Mr. Mark Erickson,2017-03-14,Grade 4,+18302264434,860
S00075,Jasmine Allen,2017-10-12,Grade 1,+12018302268,-
S00076,Robert Martin,2013-06-28,Grade 1,+15837323507,-
S00077,Amanda Perry,2009-03-22,Grade 2,+16612651096,-
S00078,Brian Sims,2012-02-11,Grade 3,+16455692056,-
S00079,Krista Martinez,2008-05-03,Grade 2,+12818132086,65169
S00080,Aaron Baldwin,2013-04-26,Grade 4,+18059390145,-
S00081,John Underwood,2013-05-01,Grade 1,+15479434476,-
S00082,Shawn Martin,2016-10-12,Grade 4,+17357612346,7222
S00083,Michael Harrison,2017-07-21,Grade 3,+12123467556,883
S00084,Wanda Eaton,2012-09-14,Grade 4,+19203339999,29113
S00085,Taylor Juarez,2018-06-07,Grade 2,+18237917451,6613
S00086,Michael Lee,2010-03-24,Grade 3,+15778316105,317
S00087,Beth Mendoza,2012-01-18,Grade 3,+18873944200,-
S00088,Michele James,2014-08-08,Grade 5,+16422077825,9469
S00089,Noah Dougherty,2006-06-02,Grade 5,+18592553549,677
S00090,David Downs,2011-11-26,Grade 2,+19228134880,-
S00091,Mary Williams,2014-10-19,Grade 3,+18607600220,9569
S00092,Jason Parker,2011-02-15,Grade 3,+15635730168,-
S00093,Robert Stewart,2009-06-30,Grade 1,+14777897616,158
S00094,Paul Ortega,2013-02-15,Grade 2,+19994317914,-
S00095,George Williams,2008-09-01,Grade 2,+14013998240,5936
S00096,Dawn Hall,2007-05-21,Grade 4,+17957924545,-
S00097,Tyler Schroeder,2009-03-25,Grade 5,+13147618012,48970
S00098,Courtney Taylor,2006-06-03,Grade 3,+12587793223,424
S00099,Jason George,2011-06-04,Grade 2,-,-
S00100,Anthony Villarreal,2016-04-12,Grade 3,+19356173478,6764
S00101,William Mitchell,2008-11-06,Grade 5,+17499237131,37550
S00102,Stacey Ramos,2011-06-11,Grade 4,+17649751451,-
S00103,Jacqueline Richard,2010-10-19,Grade 5,+17449268903,-
S00104,Allison Flores,2014-10-06,Grade 3,+17568298027,-
S00105,John Singleton,2008-07-21,Grade 3,+15596036410,-
S00106,Matthew Chandler,2006-12-29,Grade 1,+17794981573,-
S00107,Brian Ferguson,2017-01-13,Grade 3,+12598513309,68675
S00108,James Orozco,2012-08-10,Grade 5,+17747796874,1712
S00109,Sandy Lee,2017-09-28,Grade 1,+14646080980,749
S00110,Scott Perez,2007-04-19,Grade 5,+19486288304,11021
S00111,Dylan Jones,2009-10-01,Grade 1,+18137511036,-
S00112,Barbara Taylor,2015-10-26,Grade 5,-,-
S00113,Brandon Garcia,2006-08-15,Grade 2,+15414634530,74598
S00114,Kathryn Wilson,2009-08-02,Grade 2,+13023666634,-
S00115,Brian Lowe,2007-10-29,Grade 3,+12227613749,29075
S00116,Julie Schneider,2016-07-12,Grade 1,+16254500857,-
S00117,Julie Bush,2014-07-26,Grade 5,+17264274243,66185
S00118,Ellen Carter,2016-05-31,Grade 3,+18367972128,-
S00119,Kimberly Ryan,2007-02-20,Grade 1,-,-
S00120,Paul Ramos,2018-09-25,Grade 1,+14538508972,4586
S00121,Benjamin Martin,2012-03-27,Grade 4,+16808676297,1013
S00122,Kristine Johnston,2014-02-01,Grade 4,+17928967675,900
S00123,Elizabeth Morales,2018-03-18,Grade 2,+19578073322,9791
S00124,Glenn Alexander,2015-10-31,Grade 5,+17494465768,5902
S00125,Charles Guerrero,2017-04-25,Grade 5,+18666889369,-
S00126,Jeremy Rhodes,2011-03-05,Grade 3,+17167508815,-
S00127,Denise Evans,2010-06-23,Grade 3,+16498019380,-
S00128,Dr. Jamie Stewart,2007-04-14,Grade 3,+13104263533,5178
S00129,Anthony White,2017-01-30,Grade 2,+17744901258,-
S00130,Eduardo Miranda,2012-06-30,Grade 1,+19906385401,29299
S00131,Gregory Schroeder,2013-04-05,Grade 3,-,-
S00132,Jeremiah Frank,2015-11-30,Grade 1,+14464935059,44155
S00133,Kathy Jordan,2016-06-09,Grade 4,+16829656945,6002
S00134,Brett Knight,2018-06-20,Grade 4,+19722735638,-
S00135,Traci Johnson,2007-07-28,Grade 1,+16562939872,-
S00136,Mr. John Salas,2016-04-18,Grade 2,+15566203226,8281
S00137,Cory Garcia,2011-09-12,Grade 4,+19676379410,-
S00138,Michael Mccall,2017-07-17,Grade 2,+16536298453,-
S00139,Jeffrey Pace,2014-04-17,Grade 5,+18542418982,-
S00140,Joshua Smith,2007-06-01,Grade 3,+17416492163,714
S00141,Mary Mccullough Dds,2006-06-19,Grade 5,+17167525816,998
S00142,Brian Phillips,2009-10-04,Grade 5,+18744617223,9991
S00143,Cynthia Macdonald,2008-06-12,Grade 3,+19163724695,15443
S00144,Dylan Riddle,2016-05-16,Grade 5,+12803832852,122
S00145,Bonnie Mitchell,2017-05-12,Grade 3,+13874906820,-
S00146,Kaylee Stewart,2009-10-05,Grade 1,+17749463285,062
S00147,Kimberly Williams,2009-01-11,Grade 2,+16567747324,-
S00148,Travis Moreno,2015-05-13,Grade 5,+15684239707,37227
S00149,Nicholas Pope,2015-08-06,Grade 3,+18318076360,-
S00150,William Griffin,2015-06-09,Grade 5,-,-
S00151,Kenneth Mccormick,2018-05-26,Grade 1,+19577459765,55393
S00152,Hannah Baker,2017-12-30,Grade 5,+17532182172,24296
S00153,Megan Noble,2014-07-06,Grade 2,+13819596172,50580
S00154,Chris Robles,2012-06-13,Grade 4,+12872375597,080
S00155,Sean Baker,2006-06-04,Grade 3,+17874169684,743
S00156,Joy Wilkins,2010-01-03,Grade 4,+15264680151,-
S00157,Derrick Hall,2011-12-14,Grade 3,+13108109893,-
S00158,Jordan Compton,2017-08-18,Grade 3,+16658116217,4175
S00159,Erika Johnson,2013-03-19,Grade 1,+19596835469,-
S00160,Robert Gibson,2017-02-22,Grade 5,+19335035929,-
S00161,Jill Valdez,2014-12-07,Grade 2,+17958727881,0527
S00162,Robert Baxter,2017-10-11,Grade 3,+18638308594,551
S00163,Ryan Gordon,2007-01-09,Grade 1,+17737402829,-
S00164,Angela Gregory,2012-01-06,Grade 2,+18916789593,0460
S00165,Christina Parker,2008-04-11,Grade 4,+19775233238,06614
S00166,Melissa Williams,2011-11-22,Grade 5,+14693005323,87878
S00167,Mrs. Jody Campbell,2016-08-17,Grade 5,+16867844423,112
S00168,Abigail Ochoa,2018-10-25,Grade 1,+13684541821,04368
S00169,Susan Lloyd,2015-08-05,Grade 3,+12742873477,95645
S00170,Krista Stewart,2014-03-16,Grade 5,+18962098455,29533
S00171,James Davila,2017-10-29,Grade 2,+16884899712,0262
S00172,Julia Barnes,2008-09-07,Grade 2,+16014552938,238
S00173,Gregory Santos,2013-08-20,Grade 3,+12416698148,705
S00174,Michael Smith,2015-12-24,Grade 2,+16814240282,-
S00175,Cynthia Torres Md,2007-03-31,Grade 4,+18009497526,-
S00176,Tyler Adams,2010-10-29,Grade 3,+16675347289,3502
S00177,Rachel Morgan,2008-02-15,Grade 1,+12707477816,-
S00178,Jessica Roberson,2013-08-02,Grade 1,+12606768371,68947
S00179,Christopher Carter,2018-09-03,Grade 3,+15105759055,-
S00180,Carla Allen,2016-07-19,Grade 5,+15317490576,22563
S00181,Gregory Davis,2014-05-13,Grade 4,+13038036153,296
S00182,Jimmy Mcintosh,2012-10-28,Grade 1,+14356337347,300
S00183,John Tyler,2018-01-12,Grade 2,+15613969968,990
S00184,Mathew Thomas,2015-05-29,Grade 5,+15469175688,-
S00185,Roy Booth,2012-07-16,Grade 2,+19037899676,5480
S00186,Holly Moore,2012-01-04,Grade 5,+17185803296,7478
S00187,John Williams,2018-07-17,Grade 4,+18288137149,-
S00188,Jeffrey Barnes,2007-10-24,Grade 2,+19454609376,3464
S00189,Morgan Diaz,2018-03-02,Grade 2,+15203671169,-
S00190,Daniel Baxter,2011-12-04,Grade 5,+12347643911,11140
S00191,Samantha Jackson,2018-07-30,Grade 2,+17904295919,-
S00192,Christy Frazier,2011-12-19,Grade 2,+19704533104,56607
S00193,Molly Davis,2014-08-05,Grade 4,+15124777785,-
S00194,Barbara Frederick,2018-05-22,Grade 4,+17063429995,1816
S00195,Rita Sosa,2017-01-05,Grade 4,+15182333212,61085
S00196,Anna Good,2011-12-07,Grade 3,+16796468286,-
S00197,John Mclaughlin,2014-05-25,Grade 2,+13433332472,10828
S00198,Haley Young,2013-04-23,Grade 5,+17045181533,29368
S00199,Renee Hunt,2012-10-06,Grade 3,+15942199144,5443
S00200,Daniel Stewart,2012-02-17,Grade 4,+13055662294,5737
S00201,Thomas Pugh,2013-02-16,Grade 5,+12645191497,5267
S00202,Laura Smith,2007-04-28,Grade 5,+16455662214,-
S00203,Andrew Shepard,2012-01-07,Grade 1,+15574295075,77641
S00204,April Mann,2006-09-18,Grade 4,+12078333085,876
S00205,Danielle Carter,2010-04-23,Grade 3,+14333660330,826
S00206,Suzanne Gilbert,2007-07-28,Grade 1,+12069780922,211
S00207,Samantha Phillips,2018-06-23,Grade 5,+12649115307,-
S00208,Troy Dudley,2014-02-02,Grade 4,+15037492823,815
S00209,Daniel Bennett,2010-04-17,Grade 4,+17219819285,-
S00210,Brenda Butler,2011-07-25,Grade 4,+15237717577,9540
S00211,Jessica West,2013-07-11,Grade 5,+18933970073,2346
S00212,Kristin Drake,2008-10-22,Grade 1,-,-
S00213,William Patterson,2014-08-13,Grade 5,+16494451660,-
S00214,Allison Cruz,2016-01-01,Grade 2,+18052085816,-
S00215,Marie Carter,2015-09-16,Grade 2,+17274868639,877
S00216,Stephen Vaughn,2017-10-25,Grade 3,+16583634611,8929
S00217,Donna Taylor,2015-09-22,Grade 4,+13218878509,8401
S00218,Lisa Cooley,2015-12-02,Grade 1,+12725351555,-
S00219,Jonathan Ward,2014-01-01,Grade 1,+13755055283,749
S00220,Wanda Sanchez,2007-08-31,Grade 1,+17144697556,5445
S00221,Christopher Maynard,2016-08-22,Grade 3,+16376071193,-
S00222,Juan Richard,2017-04-18,Grade 3,+18108393427,-
S00223,Bob Mccall,2015-06-30,Grade 1,+16577280571,045
S00224,Jennifer Malone,2011-10-20,Grade 3,+15256635545,82012
S00225,Dennis Ibarra,2009-09-14,Grade 3,+15704107520,-
S00226,Jessica Garcia,2007-08-30,Grade 4,+13635497552,-
S00227,Nicholas Wright,2008-04-16,Grade 3,+16465600649,02718
S00228,Glenn Ashley,2017-06-23,Grade 3,+17263450839,3632
S00229,Debbie Cooper,2015-07-26,Grade 3,+12002173660,-
S00230,Christopher Haynes,2011-05-19,Grade 1,+14972282883,20003
S00231,Lisa Cross,2014-02-15,Grade 1,+17177670860,-
S00232,Clayton Luna,2007-01-26,Grade 4,+13183524768,11966
S00233,Stephanie Murphy,2012-07-16,Grade 5,+17747626662,94777
S00234,Ronald Wood,2018-04-10,Grade 3,+13335460697,-
S00235,Christine Dorsey,2009-03-10,Grade 3,+17822365011,-
S00236,Anne Waters,2006-04-07,Grade 2,+16824168169,511
S00237,Robert Williams,2018-03-09,Grade 1,+13642413213,-
S00238,Jason Fox,2013-04-02,Grade 4,+14486649894,-
S00239,Sean Lane,2010-11-22,Grade 3,+13248652857,931
S00240,Eric Baxter,2018-06-17,Grade 3,+14848110130,-
S00241,Maria Allen,2009-01-27,Grade 2,+14534408320,-
S00242,Sean Brooks,2018-08-02,Grade 4,+15572898325,-
S00243,Michael Shepard,2009-11-02,Grade 1,+16735026368,-
S00244,Taylor Davis,2007-04-05,Grade 4,+13847314544,38746
S00245,William Norton,2009-03-14,Grade 5,+13074221352,0283
S00246,Jeffery Smith,2015-02-07,Grade 4,+15119308599,9177
S00247,Brittany Mccarthy,2007-07-15,Grade 4,+18919143142,-
S00248,Susan Turner,2014-04-05,Grade 2,+19284550769,80479
S00249,Steven Smith,2010-05-20,Grade 2,+12415478604,-
S00250,William Logan,2007-10-14,Grade 5,+14293968256,59884
S00251,Amy Simon,2014-09-27,Grade 2,+12344810848,-
S00252,Michelle Murphy,2012-07-07,Grade 5,+12509527519,2734
S00253,Clifford Bentley,2016-11-27,Grade 2,+18293960463,5857
S00254,Daniel Bender,2010-05-16,Grade 4,+12499961585,28916
S00255,Spencer Wilson,2017-01-01,Grade 1,+16514592147,454
S00256,Belinda Holt,2006-09-11,Grade 2,+12305221382,-
S00257,Ralph Kelly,2016-12-09,Grade 1,+16962724744,-
S00258,Michael Levine,2017-01-03,Grade 4,+13073070939,-
S00259,Ashley Nicholson,2009-06-06,Grade 3,+17399590159,-
S00260,Caitlyn Davis,2011-07-16,Grade 4,+13028679917,3565
S00261,Kevin Smith,2017-03-30,Grade 1,+19695000112,-
S00262,Kyle Luna,2012-12-01,Grade 3,+13393134903,-
S00263,Dawn Hodge,2008-08-26,Grade 5,+13718036019,85442
S00264,Antonio Chung,2009-07-09,Grade 2,+17564840271,-
S00265,Tracy Chandler,2008-08-11,Grade 3,+14889985404,29392
S00266,Kimberly Mercer,2019-02-04,Grade 3,+16565163590,200
S00267,Laura Mcdonald,2006-10-09,Grade 3,+14092696055,61523
S00268,Shawn Owens,2014-02-11,Grade 1,+15764420241,658
S00269,Michael Flores,2013-03-15,Grade 2,-,-
S00270,Katherine Gill,2010-05-07,Grade 2,+16073435848,378
S00271,Todd Anderson,2010-10-21,Grade 1,+17149981989,7647
S00272,Nicholas Boone,2013-03-03,Grade 3,+19625567663,579
S00273,Natalie Burke,2014-09-07,Grade 1,+16666874187,-
S00274,William Wilkerson,2013-02-04,Grade 3,-,-
S00275,Christopher Turner,2013-06-12,Grade 2,+13804128990,924
S00276,Megan Flores,2018-12-25,Grade 3,+17613150354,9210
S00277,Cheryl Mason,2016-04-21,Grade 4,+17446052373,-
S00278,Matthew Mejia,2014-05-03,Grade 5,+18858088424,487
S00279,Mr. Michael Stewart,2008-06-14,Grade 3,+17564564599,54183
S00280,Christopher Lopez,2011-09-07,Grade 4,+15145755938,1699
S00281,Kimberly Woods,2018-02-19,Grade 1,+17884485766,13591
S00282,James Fuller,2016-08-29,Grade 3,+13514503724,-
S00283,Keith Booker,2011-09-27,Grade 5,+14625596562,-
S00284,Cheryl Green,2009-06-26,Grade 4,+17984662186,4297
S00285,Chad Wood,2012-04-10,Grade 5,+19932499121,-
S00286,Martha Perez,2007-08-19,Grade 3,+19966974699,7295
S00287,Michael Price,2006-11-18,Grade 3,+12668637574,-
S00288,Gary Hudson,2006-11-21,Grade 4,+15027086285,226
S00289,Timothy Hall,2008-07-01,Grade 3,+12647714878,-
S00290,James Camacho,2007-11-14,Grade 5,+16355189356,07862
S00291,Victoria Tucker,2013-06-27,Grade 4,+19268309225,170
S00292,Danny Johnson,2016-03-27,Grade 3,+16106454882,-
S00293,Denise Ramsey,2012-11-15,Grade 3,-,-
S00294,Michelle Barker,2016-07-07,Grade 5,+13145572806,-
S00295,Kyle Lynch,2012-11-15,Grade 4,+12626316941,220
S00296,Tracey Murphy,2014-02-20,Grade 2,+18403317845,984
S00297,Jeremy Ferguson,2014-06-21,Grade 4,+14786726584,0960
S00298,Jeffery Gilmore,2017-03-20,Grade 3,+13255813080,-
S00299,Laura Smith,2011-01-16,Grade 1,+19134014861,52246
S00300,Ms. Karen Thomas Md,2007-06-13,Grade 2,+17602869971,-
S00301,Vanessa Anderson,2014-07-13,Grade 3,+15014231521,4109
S00302,Dr. Valerie Black,2016-01-17,Grade 1,-,-
S00303,Abigail Price,2006-11-01,Grade 2,+18919211661,00937
S00304,Scott Fleming,2013-04-14,Grade 1,+16737733905,982
S00305,Victoria Chambers,2006-07-11,Grade 5,+16304324098,-
S00306,Matthew Butler,2008-01-24,Grade 2,+12302084513,51242
S00307,Christine Daniel,2014-10-22,Grade 1,+16942493882,-
S00308,Grace Hardy,2007-06-18,Grade 2,+13366795747,854
S00309,Emma Thompson,2009-07-20,Grade 3,+12292809049,-
S00310,Christopher Henry,2016-06-02,Grade 2,+13792116066,49207
S00311,Alexandra King,2010-08-04,Grade 4,+15418616241,-
S00312,Henry Rhodes,2015-12-09,Grade 2,+14494008653,305
S00313,Angela Davis,2012-04-27,Grade 2,+19969542014,44063
S00314,Shane Olson,2018-07-30,Grade 3,+15753374190,8246
S00315,Martin Buck,2017-09-07,Grade 1,+18462772933,880
S00316,Taylor Ferguson,2017-07-30,Grade 5,+13639192666,3133
S00317,Kelsey Jones,2018-04-02,Grade 1,+15374715009,643
S00318,Matthew Bass,2006-09-26,Grade 5,+15726955618,-
S00319,Katherine Woods,2014-12-05,Grade 5,+14193283771,-
S00320,Tony Hill,2014-01-01,Grade 3,+16247505412,486
S00321,Gina Thomas,2013-08-15,Grade 4,-,-
S00322,Bryan Johnson,2013-11-18,Grade 5,+12503489737,069
S00323,Kathleen Ewing,2007-07-29,Grade 1,+18803232479,78369
S00324,Brandon Ewing,2012-05-17,Grade 4,+12202387955,8518
S00325,Robert Lopez,2012-04-01,Grade 1,+17094558444,-
S00326,Adrian Smith,2014-02-09,Grade 3,-,-
S00327,John James,2007-05-23,Grade 4,+13822927448,-
S00328,Janice Carter,2013-12-15,Grade 3,+13748131643,-
S00329,Mary Mendez,2015-02-04,Grade 5,+18813804666,-
S00330,Christopher Anderson,2013-05-24,Grade 4,+15162599758,518
S00331,Andre Bruce,2015-06-10,Grade 4,+18045845885,-
S00332,Cynthia Hayden,2016-05-06,Grade 3,+18147305776,-
S00333,Debra Zhang,2018-02-18,Grade 2,+19207149046,-
S00334,Jacob Thomas,2018-07-17,Grade 3,-,-
S00335,Jessica Kim,2018-03-01,Grade 4,+17722443313,0822
S00336,Kristin Blake,2008-11-04,Grade 3,+18039631286,51923
S00337,Laura Ramirez,2007-03-04,Grade 1,+15124456206,4650
S00338,Mark Vega,2013-02-24,Grade 4,+16364023798,-
S00339,Hannah Black,2015-04-25,Grade 5,+13644917527,51134
S00340,Daniel Santos Jr.,2016-03-22,Grade 3,+12728543014,-
S00341,Brittany Gonzales,2017-03-18,Grade 5,+13837742751,-
S00342,Roberto Lowe,2017-04-15,Grade 4,+15912796050,-
S00343,Aaron Edwards,2010-05-30,Grade 1,+14595910894,6660
S00344,Nicholas Hickman,2012-12-31,Grade 3,+17996404267,2583
S00345,Ronald Sullivan,2009-12-06,Grade 1,+14252090599,-
S00346,Todd Day,2018-05-12,Grade 2,+17208868293,-
S00347,Debbie Brooks,2018-03-17,Grade 4,+19314389442,09684
S00348,Lauren Hansen,2009-11-01,Grade 4,+19719809492,-
S00349,Elizabeth Mitchell,2007-03-18,Grade 2,+16872804805,-
S00350,Vanessa Ryan,2009-05-03,Grade 5,+14532654168,810
S00351,Charlene Henry,2008-09-08,Grade 3,+13473094819,88986
S00352,Laura Bailey,2010-11-25,Grade 1,+13914973088,-
S00353,Mary Schneider,2014-11-25,Grade 3,+12072847846,-
S00354,Shawna Johnson,2007-03-29,Grade 5,+15328807552,3135
S00355,Elizabeth Cruz,2007-06-08,Grade 5,+19367616582,16209
S00356,Christine Shaw,2014-07-19,Grade 5,+12347725348,-
S00357,Melissa Mathis,2008-03-03,Grade 5,+13058415452,341
S00358,Steven Jackson,2012-02-11,Grade 2,+19808693884,10686
S00359,Anna Lee,2015-02-19,Grade 1,+18993068746,-
S00360,Zachary Nguyen,2011-11-10,Grade 4,+13217082166,-
S00361,John Anderson,2019-02-12,Grade 1,-,-
S00362,Donald Taylor,2016-09-23,Grade 4,+18329410727,-
S00363,Brian Henry,2013-02-01,Grade 3,+19487320106,-
S00364,Dr. Brett Hall,2010-06-10,Grade 2,+18382537204,-
S00365,Michael Glass,2008-11-25,Grade 3,+19953377703,5266
S00366,Karen Bowman,2009-11-23,Grade 2,+13617145163,-
S00367,Sean Miller,2014-01-30,Grade 1,+12317755967,81773
S00368,Beth Hammond,2012-03-27,Grade 2,+17514858130,-
S00369,Haley Fox,2017-01-19,Grade 2,+17419488914,-
S00370,Christopher Knox,2017-03-06,Grade 1,+17303874971,-
S00371,Kyle Smith,2015-11-13,Grade 1,+18729409360,86789
S00372,Laura Lopez,2013-07-16,Grade 4,+16804927358,-
S00373,Lisa Gray,2013-09-09,Grade 4,+13995355789,439
S00374,Jessica Price,2017-10-14,Grade 1,+16468608453,-
S00375,George Hunter,2013-11-22,Grade 4,+18698506842,-
S00376,Sheryl Lopez Dds,2016-12-31,Grade 5,+16474829522,7880
S00377,Christina King,2014-01-24,Grade 1,+15772614710,-
S00378,William Baker,2016-10-20,Grade 1,+14154022549,3144
S00379,William White,2006-06-01,Grade 3,+19218671952,37917
S00380,Jamie Butler,2010-06-20,Grade 2,-,-
S00381,Dana Robinson,2013-07-04,Grade 1,+15526816994,5776
S00382,David Cline,2019-01-13,Grade 1,-,-
S00383,Kristi Allen,2014-10-09,Grade 1,+18234997234,728
S00384,Melissa Moore,2009-06-06,Grade 4,+15899311524,-
S00385,Alicia Gonzalez,2009-12-03,Grade 2,+15708338817,312
S00386,Christopher Wallace,2013-02-18,Grade 1,+19295831673,770
S00387,Christopher Neal,2008-09-18,Grade 1,+13086096304,-
S00388,Grant Maddox,2011-12-22,Grade 2,+19814847611,46410
S00389,Cameron Gibson,2018-06-19,Grade 1,+12212884630,396
S00390,Kimberly Young,2018-09-09,Grade 2,+12704044954,2565
S00391,Shelly Garner,2009-10-14,Grade 4,+13015785593,28873
S00392,Amanda Wood,2009-07-03,Grade 2,+13253078560,4498
S00393,Stacey Gutierrez,2012-12-21,Grade 3,-,-
S00394,Steven Barnes,2009-12-23,Grade 4,+16665279237,49105
S00395,Deborah Russo,2014-08-30,Grade 3,+14743138638,-
S00396,Jeremy Li,2015-05-16,Grade 1,+12462558338,0462
S00397,Mario Pena,2013-09-19,Grade 2,+15213789806,43305
S00398,Brian Little,2018-02-04,Grade 3,+19596581376,65266
S00399,Jennifer Johnson,2012-05-27,Grade 1,+13238731770,14109
S00400,Ashley Olsen,2008-03-15,Grade 1,+19086443786,1955
S00401,Justin Vang,2007-10-27,Grade 3,+19592975406,925
S00402,Brian Johnston,2013-06-04,Grade 4,+17823101431,-
S00403,Clinton Moss,2009-01-31,Grade 1,+13039293017,74504
S00404,Stacie Jordan,2010-03-15,Grade 5,+15439310299,2602
S00405,Kyle Silva,2007-02-19,Grade 2,+13354956512,1006
S00406,Gregory Smith,2015-09-25,Grade 5,+13635174301,-
S00407,Samantha Martin,2011-04-05,Grade 1,+12288423513,-
S00408,Kathleen Singh,2014-02-08,Grade 2,+18849596930,7478
S00409,Sarah Mendoza,2017-06-11,Grade 5,+16259209989,0417
S00410,Tracy Hernandez,2017-06-05,Grade 4,+19944975218,33233
S00411,John Ochoa,2014-02-14,Grade 5,-,-
S00412,Jean Baker,2017-10-13,Grade 5,+12772408437,-
S00413,Susan Schroeder,2013-08-25,Grade 3,+19097726947,1021
S00414,Denise Johnson,2013-02-17,Grade 5,+13668765045,-
S00415,Danielle Williams,2008-03-03,Grade 4,+14155238820,53122
